Country,Rank-2015,Happiness-Score-2015,GDP-2015,Social-Support-2015,Healthy-Life-Expectancy-2015,Freedom-2015,Trust-2015,Generosity-2015,Dystopia-2015,Region,Rank-2016,Happiness-Score-2016,GDP-2016,Social-Support-2016,Healthy-Life-Expectancy-2016,Freedom-2016,Trust-2016,Generosity-2016,Dystopia-2016,Rank-2017,Happiness-Score-2017,GDP-2017,Social-Support-2017,Healthy-Life-Expectancy-2017,Freedom-2017,Generosity-2017,Trust-2017,Dystopia-2017,Rank-2018,Happiness-Score-2018,GDP-2018,Social-Support-2018,Healthy-Life-Expectancy-2018,Freedom-2018,Generosity-2018,Trust-2018,Dystopia-2018,Rank-2019,Happiness-Score-2019,GDP-2019,Social-Support-2019,Healthy-Life-Expectancy-2019,Freedom-2019,Generosity-2019,Trust-2019,Dystopia-2019,Rank-2020,Happiness-Score-2020,GDP-2020,Social-Support-2020,Healthy-Life-Expectancy-2020,Freedom-2020,Generosity-2020,Trust-2020,Dystopia-2020,Rank-2021,Happiness-Score-2021,GDP-2021,Social-Support-2021,Healthy-Life-Expectancy-2021,Freedom-2021,Generosity-2021,Trust-2021,Dystopia-2021,Rank-2022,Happiness-Score-2022,Dystopia-2022,GDP-2022,Social-Support-2022,Healthy-Life-Expectancy-2022,Freedom-2022,Generosity-2022,Trust-2022
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,"5,173","1,098","1,458","1,093",560,601,23,341
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,"5,164","2,531",785,621,369,367,388,103
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,"5,122","2,844",636,670,309,405,178,80
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,"5,075","2,658",950,405,355,431,130,146
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,"5,003","2,667",570,560,326,571,165,145
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,"4,609","2,304",899,476,424,185,195,125
Palestinian Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,"4,483","1,368","1,148",957,521,336,73,79
Eswatini Kingdom of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,"4,396","1,688","1,274",786,197,259,38,154
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,"4,339","2,148",670,645,378,202,143,154
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,"4,251","2,419",662,506,225,180,182,77
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,"4,197","1,561",691,"1,043",384,330,90,98
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,"4,153","1,207","1,100",865,450,304,88,138
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,"3,512","1,312",839,848,0,419,76,18
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,"3,471",187,"1,503",815,280,571,12,102
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,"3,268",536,785,133,462,621,187,544
Hong Kong S.A.R. of China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,5.510399818,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437,0.673293114,77,5.477,1.525,0.841,0.893,0.408,0.232,0.342,1.236,81,"5,425",642,"1,957",954,942,400,147,383
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,5.197599888,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492,1.098674774,89,5.198,1.115,1.015,0.697,0.575,0.204,0.073,1.52,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034,1.595,,,,,,,,,,94,5.101,1.068,0.772,0.535,0.45,0.212,0.022,2.042,89,"5,199","1,461","1,505",863,637,488,215,31
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,4.516,0.308,0.939,0.428,0.382,0.269,0.167,2.023,113,4.750599861,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795,2.270216465,98,5.051,0.367,0.511,0.21,0.384,0.465,0.123,2.99,,,,,,,,,
Trinidad & Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2.148,39,6.192,1.231,1.477,0.713,0.489,0.185,0.016,2.081,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,5.835,1.229,1.211,0.909,0.495,0.179,0.154,1.658,64,5.718,1.263,1.252,1.042,0.417,0.191,0.162,1.391,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan Province of China,,,,,,,,,,,,,,,,,,,,33,6.42199993133545,1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,2.1266074180603,,,,,,,,,,,,,,,,,,,25,6.45539999,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352,2.160238743,24,6.584,1.48,0.982,0.665,0.49,0.142,0.139,2.687,26,"6,512","2,002","1,897","1,095",733,542,75,168
Hong Kong S.A.R. China,,,,,,,,,,,,,,,,,,,,71,5.47200012207031,1.55167484283447,1.26279091835022,0.943062424659729,0.490968644618988,0.374465793371201,0.293933749198914,0.554633140563965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,Western Europe,2,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,4,7.49399995803833,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,2.2767162322998,5,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2.318,6,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2.272,3,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,3,7.571,1.566,1.079,0.816,0.653,0.204,0.413,2.839,4,"7,512","2,153","2,026","1,226",822,677,147,461
Iceland,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,Western Europe,3,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,3,7.50400018692017,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2.32271528244019,4,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2.426,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2.401,4,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,4,7.554,1.482,1.172,0.772,0.698,0.293,0.17,2.967,3,"7,557","2,320","1,936","1,320",803,718,270,191
